Ime.i.prezime,Tijelo.javne.vlasti,Izvor.informacija,Godina,Datum.putovanja.polazak,Datum.putovanja.povratak,Odrediste,Broj.osoba.u.pratnji,Koristen.Vladin.zrakoplov,Iznos.putnih.troskova.po.sluzbenom.putovanju.u.kn,Iznos.troskova.smjestaja.po.sluzbenom.putovanju.u.kn,Iznos.troskova.reprezentacije.u.kn,Ukupni.troskovi.u.kn,Prosjek.troska.u.kn.po.osobi
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-08-04,2016-08-07,Varaždin,,ne,150,0,0,150,150
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-08-22,2016-08-22,Osijek,,ne,600,0,0,600,600
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-08-23,2016-08-25,Mrtvi Jarak,,ne,150,508,0,658,658
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-08-25,2016-08-26,Dubrovnik,,ne,3493.77,1278.7,0,4772.47,4772.47
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-08-29,2016-08-29,Suhopolje,,ne,150,0,0,150,150
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-09-29,2016-09-29,Osijek,,ne,150,0,0,150,150
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-03-10,2016-03-12,Belgija,,ne,6091.36,1496.46,0,7587.82,7587.82
Tomislav Tolušić,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis_2,2016,2016-04-13,2016-04-15,Poljska,,ne,3938.17,1091.19,0,5029.36,5029.36
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-01-20,2017-01-20,NOVA GRADIŠKA,1,ne,300,0,0,300,150
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-01-22,2017-01-24,BRUXELLES,2,ne,10124.25,6900,497.08,17521.33,5840.443333
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-01-24,2017-01-24,DELNICE,1,ne,0,0,0,0,0
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-02-12,2017-02-14,DUBROVNIK,4,ne,4135,5687,0,9822,1964.4
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-02-20,2017-02-21,SINJ,4,ne,1700.74,2240.72,0,3941.46,788.292
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-02-24,2017-02-24,VIROVITICA,0,ne,0,0,0,0,0
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-02-25,2017-02-28,"Pariz, Francuska",1,ne,4469.1,7020,1782.29,13271.39,6635.695
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-03,2017-03-03,ČAKOVEC,2,ne,225,0,0,225,75
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-06,2017-03-06,"Bruxelles, Belgija",0,ne,4183.6,0,0,4183.6,4183.6
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-07,2017-03-07,OSIJEK,1,ne,450,0,0,450,225
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-10,2017-03-10,OPATIJA,2,ne,415,0,0,415,138.3333333
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-13,2017-03-13,VUKOVAR,3,ne,480,0,0,480,120
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-14,2017-03-14,KARLOVAC,2,ne,245,0,0,245,81.66666667
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-17,2017-03-17,BJELOVAR,1,ne,225,0,0,225,112.5
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-20,2017-03-20,ZADAR,1,ne,320,0,0,320,160
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-27,2017-03-29,"Venezia, Italija",1,ne,2234.46,0,663.44,2897.9,1448.95
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-27,2017-03-27,ROVINJ,3,ne,500,0,0,500,125
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-03-29,2017-03-30,MALTA,1,ne,6039.13,0,0,6039.13,3019.565
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-04-07,2017-04-07,VARAŽDIN,2,ne,375,0,0,375,125
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-04-11,2017-04-11,OSIJEK,1,ne,160,0,0,160,80
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-04-12,2017-04-12,BEDEKOVČINA,1,ne,160,0,0,160,80
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-04-19,2017-04-19,SIKIREVCI,1,ne,85,0,0,85,42.5
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-04-24,2017-04-24,VIROVITICA,3,ne,470,0,0,470,117.5
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-05-06,2017-05-06,OSIJEK,0,ne,75,0,0,75,75
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-05-09,2017-05-09,KNIN,3,ne,640,0,0,640,160
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-05-11,2017-05-12,ĐAKOVO,1,ne,320,0,0,320,160
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-05-12,2017-05-13,VRBOVEC,0,ne,150,0,0,150,150
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-05-23,2017-05-24,"BUDIMPEŠTA, MAĐARSKA",2,ne,1292.5,2250,2054.68,5597.18,1865.726667
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-05-30,2017-05-30,KOPRIVNICA,1,ne,150,0,0,150,75
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-06-05,2017-06-05,OPATIJA,0,ne,75,0,0,75,75
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-06-09,2017-06-09,DARUVAR,0,ne,75,0,0,75,75
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-06-28,2017-06-28,KNEŽEVI VINOGRADI,0,ne,150,0,0,150,150
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-07-01,2017-07-01,ĐURĐEVAC,0,ne,0,0,0,0,0
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-07-02,2017-07-02,OSIJEK,0,ne,0,0,0,0,0
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-07-03,2017-07-03,POŽEGA,0,ne,150,0,0,150,150
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-07-06,2017-07-07,"Sarajevo, Bosna i Hercegovina",0,ne,3425.8,0,0,3425.8,3425.8
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-07-17,2017-07-18,"Bruxelles, Belgija",1,ne,10390.69,2500,510.97,13401.66,6700.83
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-07-19,2017-07-19,POREČ,1,ne,320,0,0,320,160
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-08-04,2017-08-06,ŠIBENIK,1,ne,960,2786.76,0,3746.76,1873.38
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-08-23,2017-08-24,UMAG,1,ne,320,0,0,320,160
Tomislav Tolušić,Ministarstvo poljoprivrede,http://imamopravoznati.org/request/putni_troskovi_za_tolusica_minis,2017,2017-08-25,2017-08-25,OSIJEK,0,ne,150,0,0,150,150
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-05-01,2016-05-05,"Cape Town, South Africa",0,ne,1684.5,0,0,1684.5,1684.5
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-05-11,2016-05-11,Zaton,1,ne,150,0,0,150,75
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-06-12,2016-06-13,Beč,2,ne,3712.62,2176.16,0,5888.78,1962.926667
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-06-22,2016-06-22,Sisak,1,ne,75,0,0,75,37.5
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-06-28,2016-06-29,Split,0,ne,0,0,0,0,0
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-07-01,2016-07-01,Osijek,2,ne,150,0,0,150,50
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-07-05,2016-07-06,Rabac,1,ne,164,0,0,164,82
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-09-04,2016-09-05,Bled,3,ne,1995.95,399.09,0,2395.04,598.76
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-09-14,2016-09-15,Split,2,ne,591.33,675,0,1266.33,422.11
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-09-28,2016-09-29,Dubrovnik,0,ne,0,0,0,0,0
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-09-30,2016-10-01,Pag,1,ne,673,0,0,673,336.5
Dubravka Jurlina Alibegović,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_jurlina_alibeg,2016,2016-10-07,2016-10-07,Ljubljana,1,ne,423.36,0,0,423.36,211.68
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-07-03,2017-07-03,Požega,2,ne,340,0,0,340,113.3333333
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-07-06,2017-07-07,Sarajevo,0,ne,333.05,618.71,0,951.76,951.76
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-08-04,2017-08-05,Knin,2,ne,510,0,0,510,170
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-08-30,2017-08-30,Slavonski Brod,1,ne,340,0,0,340,170
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-09-08,2017-09-08,Solin,0,ne,170,0,0,170,170
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-09-13,2017-09-14,Split,1,ne,340,0,0,340,170
Lovro Kuščević,Ministarstvo uprave,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_3,2016,2017-09-22,2017-09-27,"Tongxiang, China",0,ne,1560,0,0,1560,1560
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-04-14,2016-04-16,NJEMAČKA,0,ne,5710.96,6915.8,0,12626.76,12626.76
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-05-05,2016-05-07,ALBANIJA,1,ne,898.37,1314.14,0,2212.51,1106.255
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-09-20,2016-09-20,BOSNA I HERCEGOVINA,1,ne,225,0,0,225,112.5
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-02-29,2016-02-29,VUKOVAR,2,ne,450,0,0,450,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-03-11,2016-03-11,POŽEGA,2,ne,450,0,0,450,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-03-31,2016-04-01,TRILJ,1,ne,300,0,0,300,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-04-08,2016-04-09,SLAVONSKI BROD,1,ne,450,0,1178,1628,814
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-05-09,2016-05-09,SPLIT,1,ne,891.25,0,0,891.25,445.625
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-05-17,2016-05-17,DRENOVCI,2,ne,450,0,0,450,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-05-20,2016-05-20,VARAŽDIN,2,ne,450,0,0,450,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-06-09,2016-06-10,OPATIJA,2,ne,450,0,0,450,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-06-23,2016-06-24,OTOK BRAČ,0,ne,150,0,0,150,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-06-28,2016-06-29,OTOK BRAČ,0,ne,225,0,0,225,225
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-07-08,2016-07-08,SLAVONSKI BROD,1,ne,300,0,0,300,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-07-10,2016-07-11,DUBROVNIK,1,ne,300,2023,0,2323,1161.5
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-07-28,2016-07-29,OSIJEK,1,ne,375,0,0,375,187.5
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-07-26,2016-07-27,SPLIT,0,ne,150,0,0,150,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-08-23,2016-08-23,VARAŽDIN,1,ne,150,0,0,150,75
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-09-05,2016-09-05,METKOVIĆ,0,ne,150,0,0,150,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-09-07,2016-09-07,SPLIT,1,ne,450,627.2,0,1077.2,538.6
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-09-08,2016-09-08,SOLIN,0,ne,75,0,0,75,75
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-09-09,2016-09-09,STARI GRAD,0,ne,150,0,0,150,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-10-04,2016-10-04,FAŽANA,2,ne,450,0,0,450,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-10-07,2016-10-07,SPLIT,1,ne,150,0,0,150,75
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-11-07,2016-11-07,SPLIT,1,ne,225,0,0,225,112.5
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-11-17,2016-11-19,VUKOVAR,1,ne,525,0,0,525,262.5
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-11-04,2016-11-04,DUGOPOLJE,1,ne,300,0,0,300,150
Lovro Kuščević,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_kuscevica_mini_2,2016,2016-11-21,2016-11-21,GOSPIĆ,1,ne,300,0,0,300,150
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-10-20,2016-10-21,Bruxelles,2,da,2381.28,10075.46,0,12456.74,4152.246667
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-10-28,2016-10-29,Sarajevo,3,djelomično,1359.2,5521.27,0,6880.47,1720.1175
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-11-04,2016-11-05,Riga,4,da,1509.06,3060.64,0,4569.7,913.94
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-11-20,2016-11-21,Kijev,5,da,2155.08,3787.56,120.96,6063.6,1010.6
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-11,2016-12-12,Berlin,5,da,3183.25,0,0,3183.25,530.5416667
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-15,2016-12-16,Bruxelles,5,da,3183.47,17393.16,0,20576.63,3429.438333
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-10-22,2016-10-22,Karlovac,3,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-10-27,2016-10-27,Maribor,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-11-09,2016-11-09,Opatija,3,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-11-15,2016-11-15,Šibenik,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-11-17,2016-11-18,Vukovar,4,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-11-25,2016-11-25,Mali Lošinj,1,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-02,2016-12-02,Osijek,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-06,2016-12-06,Varaždin,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-06,2016-12-06,Krapina,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-06,2016-12-06,Prelog,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-07,2016-12-07,Gospić,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-09,2016-12-09,Vukovar,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-09,2016-12-09,Požega,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-10,2016-12-10,Trakošćan,3,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-13,2016-12-13,Pazin,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-16,2016-12-16,Križevci,1,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-16,2016-12-16,Virovitica,1,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-20,2016-12-20,Sisak,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2016,2016-12-22,2016-12-22,Slavonski Brod,2,ne,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-01-19,2017-01-20,Davos,3,da,2435.2,12905.86,0,15341.06,3835.265
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-01-23,2017-01-24,Tel Aviv,4,da,2544,0,0,2544,508.8
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-03-02,2017-03-03,Malta,5,da,2730.6,5433.81,0,8164.41,1360.735
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-03-09,2017-03-10,Bruxelles,6,da,3661.98,19225.07,0,22887.05,3269.578571
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-03-24,2017-03-25,Rim,4,da,2621.34,16527.47,0,19148.81,3829.762
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-03-29,2017-03-30,Malta,4,da,2247.66,8475.94,0,10723.6,2144.72
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-04-03,2017-04-04,Mostar,2,djelomično,677.1,4115.95,0,4793.05,1597.683333
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-04-09,2017-04-09,Dubrovnik,4,da,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-04-28,2017-04-29,Bruxelles,3,da,2105.11,11034.07,0,13139.18,3284.795
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-05-05,2017-05-05,Beč,3,da,0,0,0,0,0
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-05-07,2017-05-07,Split,2,da,85,0,0,85,28.33333333
Andrej Plenković,Vlada Republike Hrvatske,http://imamopravoznati.org/request/putni_troskovi_za_plenkovica_pre,2017,2017-05-18,2017-05-19,Mostar,2,ne,340.31,5171.44,0,5511.75,1837.25
